,City,Lat,Lng,Country,Wind,Cloud,Humidity,Max Temp.,Date
0,port elizabeth,-33.92,25.57,ZA,3.36,100,93,57.2,1603069435
1,puerto ayora,-0.74,-90.35,EC,5.99,100,93,70.0,1603069435
2,langham,52.37,-106.97,CA,12.75,75,53,26.01,1603069435
3,strezhevoy,60.73,77.59,RU,8.95,99,86,26.6,1603069435
4,kavaratti,10.57,72.64,IN,10.13,20,79,80.8,1603069540
5,macklin,52.33,-109.93,CA,2.71,0,79,20.37,1603069348
6,rio grande,-32.03,-52.1,BR,1.01,0,91,68.0,1603069278
7,cape town,-33.93,18.42,ZA,8.05,78,93,60.01,1603069262
8,hermanus,-34.42,19.23,ZA,1.01,67,91,55.99,1603069541
9,kapaa,22.08,-159.32,US,11.41,90,74,84.99,1603069541
10,ust-nera,64.57,143.2,RU,3.51,83,85,11.48,1603069541
11,ngorongoro,-3.24,35.49,TZ,7.23,37,95,51.67,1603069437
12,bengkulu,-3.8,102.27,ID,3.69,100,90,75.81,1603069437
13,parana,-31.73,-60.52,AR,14.7,0,59,80.6,1603069259
14,kaitangata,-46.28,169.85,NZ,3.56,100,94,48.69,1603069437
15,hambantota,6.12,81.12,LK,3.36,20,100,77.0,1603069542
16,pocri,8.27,-80.55,PA,4.41,100,88,77.5,1603069438
17,rikitea,-23.12,-134.97,PF,17.81,100,81,74.73,1603069370
18,muravlenko,63.79,74.52,RU,14.72,2,98,23.76,1603069438
19,provideniya,64.38,-173.3,RU,4.47,40,80,39.2,1603069388
20,ushuaia,-54.8,-68.3,AR,9.17,20,69,39.2,1603069387
21,huallanca,-9.9,-76.94,PE,1.9,100,76,45.19,1603069439
22,renfrew,55.87,-4.39,GB,3.36,90,93,51.01,1603069439
23,saskylakh,71.92,114.08,RU,6.51,100,97,18.66,1603069439
24,teya,60.38,92.63,RU,14.5,100,92,26.94,1603069544
25,jamestown,42.1,-79.24,US,9.17,90,76,54.0,1603069248
26,irtyshskiy,58.33,68.13,RU,12.57,100,94,33.04,1603069440
27,barrow,71.29,-156.79,US,13.87,90,85,21.2,1603069440
28,comodoro rivadavia,-45.87,-67.5,AR,17.22,40,47,55.4,1603069373
29,albany,42.6,-73.97,US,10.4,100,58,55.0,1603069441
30,segou,13.43,-6.22,ML,2.59,0,31,83.8,1603069642
31,tarko-sale,64.92,77.78,RU,15.59,40,97,24.76,1603069441
32,sambava,-14.27,50.17,MG,10.2,0,84,70.27,1603069546
33,hasaki,35.73,140.83,JP,8.05,75,87,63.0,1603069442
34,mataura,-46.19,168.86,NZ,8.99,100,88,52.0,1603069442
35,meulaboh,4.14,96.13,ID,2.59,98,78,78.76,1603069442
36,arraial do cabo,-22.97,-42.03,BR,23.51,100,81,71.71,1603069442
37,verkhovazhye,60.75,42.05,RU,8.52,100,95,33.55,1603069442
38,kruisfontein,-34.0,24.73,ZA,2.24,100,92,52.0,1603069547
39,busselton,-33.65,115.33,AU,8.5,37,43,72.0,1603069387
40,beisfjord,68.38,17.6,NO,8.05,44,92,24.8,1603069443
41,oranjemund,-28.55,16.43,NA,8.08,50,90,56.84,1603069443
42,fort nelson,58.81,-122.7,CA,4.7,20,42,30.2,1603069547
43,ostrovnoy,68.05,39.51,RU,13.89,100,83,35.08,1603069548
44,qaanaaq,77.48,-69.36,GL,6.33,67,88,29.03,1603069444
45,ribeira grande,38.52,-28.7,PT,19.46,9,72,63.43,1603069444
46,mizan teferi,6.98,35.58,ET,2.46,100,86,62.24,1603069444
47,coelho neto,-4.26,-43.01,BR,7.0,35,68,79.25,1603069445
48,tuatapere,-46.13,167.68,NZ,8.99,100,88,52.0,1603069445
49,leningradskiy,69.38,178.42,RU,6.44,0,89,25.18,1603069445
50,miyako,39.64,141.95,JP,0.31,82,52,65.46,1603069445
51,esperance,-33.87,121.9,AU,11.41,90,77,62.6,1603069445
52,castro,-24.79,-50.01,BR,8.03,50,96,59.02,1603069446
53,port blair,11.67,92.75,IN,14.74,100,83,80.96,1603069446
54,bluff,-46.6,168.33,NZ,8.99,100,88,52.0,1603069269
55,atuona,-9.8,-139.03,PF,18.52,1,75,78.19,1603069409
56,tasiilaq,65.61,-37.64,GL,1.12,100,92,32.0,1603069388
57,bathsheba,13.22,-59.52,BB,3.36,20,83,78.8,1603069266
58,bacolod,10.67,122.95,PH,7.18,100,73,84.56,1603069447
59,college,64.86,-147.8,US,1.63,90,62,21.99,1603069432
60,uzhur,55.3,89.83,RU,14.29,100,88,29.5,1603069447
61,yellowknife,62.46,-114.35,CA,4.7,90,85,25.0,1603069447
62,ahipara,-35.17,173.17,NZ,12.8,25,71,64.89,1603069551
63,fortuna,40.6,-124.16,US,12.75,1,87,62.01,1603069385
64,havoysund,71.0,24.66,NO,9.17,20,92,30.2,1603069448
65,gympie,-26.19,152.66,AU,1.99,9,40,80.01,1603069448
66,slave lake,55.28,-114.77,CA,3.36,90,67,21.2,1603069448
67,hobart,-42.88,147.33,AU,9.17,75,47,60.01,1603069167
68,butaritari,3.07,172.79,KI,15.43,98,71,82.0,1603069449
69,otukpo,7.19,8.13,NG,2.95,84,95,72.73,1603069449
70,bredasdorp,-34.53,20.04,ZA,2.13,98,87,55.4,1603069449
71,alto araguaia,-17.31,-53.22,BR,5.06,92,84,70.2,1603069450
72,port hardy,50.7,-127.42,CA,3.36,90,100,50.0,1603069378
73,luanda,-8.84,13.23,AO,6.93,40,88,75.2,1603069650
74,baillif,16.02,-61.75,GP,5.26,50,94,75.2,1603069450
75,klaksvik,62.23,-6.59,FO,6.93,100,100,39.2,1603069450
76,faya,18.39,42.45,SA,4.7,0,30,57.2,1603069450
77,hastings,50.86,0.57,GB,8.57,100,93,51.01,1603069744
78,namibe,-15.2,12.15,AO,4.68,0,78,68.22,1603069451
79,airai,-8.93,125.41,TL,3.47,34,31,78.67,1603069451
80,saint-augustin,51.23,-58.65,CA,3.04,100,68,46.63,1603069451
81,saint-philippe,-21.36,55.77,RE,8.05,34,60,71.6,1603069451
82,port alfred,-33.59,26.89,ZA,2.98,69,83,59.5,1603069452
83,mar del plata,-38.0,-57.56,AR,5.82,75,88,69.8,1603069366
84,lebu,-37.62,-73.65,CL,2.44,0,86,49.53,1603069452
85,coquimbo,-29.95,-71.34,CL,4.7,0,93,53.6,1603069555
86,muyezerskiy,63.93,31.65,RU,10.09,100,98,31.53,1603069452
87,shingu,33.73,135.98,JP,5.82,75,93,59.0,1603069556
88,meoqui,28.28,-105.48,MX,11.41,5,26,87.8,1603069453
